hotel_name,food_type,location,rating,delivery_time,percentage_off,amount_off
mcdonald's,"burgers, beverages, cafe, desserts",kandivali east,4.5,27,30.0,75.0
kfc,"burgers, biryani, american, snacks, fast food",kandivali east,4.2,30,40.0,80.0
domino's pizza,"pizzas, italian, pastas, desserts",thakur village,4.3,25,0.0,150.0
charcoal eats - biryani & beyond,"biryani, kebabs, hyderabadi, north indian",malad kan east,4.3,24,50.0,100.0
sandwizzaa,"snacks, fast food, beverages, jain",kandivali east,4.6,22,60.0,120.0
1441 pizzeria,"italian, pizzas, pastas",kandivali east,3.8,32,60.0,120.0
hangout cakes & more,"desserts, bakery",borivali west,4.4,24,60.0,150.0
love & cheesecake,desserts,kandivali east,4.5,14,0.0,0.0
nothing but chicken,"salads, biryani, kebabs, fast food, healthy food",kandivali east,4.5,22,20.0,50.0
sweet bengal,"sweets, indian, snacks, desserts",kandivali east,4.6,13,20.0,50.0
atta girl,south indian,malad west,4.7,27,0.0,0.0
nic ice creams,"ice cream, desserts",kandivali east,4.7,17,0.0,149.0
poetry by love & cheesecake,desserts,kandivali west,4.4,34,0.0,0.0
havmor havfunn ice cream,"ice cream, ice cream cakes, desserts, beverages",malad kan east,4.6,18,0.0,0.0
noto - ice creams & desserts,ice cream,kandivali east,4.6,15,0.0,175.0
mcdonald's gourmet burger collection,"burgers, beverages, cafe, desserts",malad kan east,4.3,26,0.0,0.0
grameen kulfi,"ice cream, desserts",kandivali east,4.7,16,0.0,99.0
surbhi sweets and snacks,"sweets, chaat, snacks, desserts, beverages, indian",dahisar east,4.2,24,0.0,125.0
jumboking indian burger,"american, mexican, fast food, snacks, beverages",dahisar east,4.5,25,0.0,175.0
theobroma,"bakery, desserts",borivali west,4.5,23,0.0,150.0
amul real milk real ice cream,ice cream,borivali west,4.3,29,0.0,100.0
"dabba garam (homestyle,combo, thali & more)","home food, north indian, thai",borivali,4.5,35,15.0,45.0
bakingo-cakes & desserts,"bakery, desserts, beverages, snacks",kandivali west,4.4,33,0.0,175.0
nh1 bowls - highway to north,"north indian, punjabi, home food",kandivali east,4.7,0,50.0,100.0
63 by-lane,"pizzas, pastas, salads",malad kan east,4.3,36,0.0,125.0
nishi home delites,"indian, punjabi",kandivali east,4.6,27,0.0,0.0
rasobongo,"bengali, sweets, desserts, snacks",kandivali east,4.4,13,10.0,40.0
central prabhu,"mughlai, north indian, chinese, konkan, malwani",borivali east,4.4,35,0.0,100.0
peetuk,"biryani, bengali",kandivali east,4.2,22,0.0,125.0
the joy pizzateria,"pizzas, beverages",kandivali east,4.1,24,60.0,120.0
theobroma,"bakery, desserts",kandivali east,4.5,15,0.0,150.0
third wave coffee,"cafe, beverages, desserts",malad kan east,4.3,18,20.0,50.0
big bowl,"north indian, chinese, tibetan, desserts",kandivali east,0.0,0,0.0,169.0
shree mithai,indian,borivali,4.7,24,0.0,0.0
breadkraft,pizzas,mumbai,4.3,21,30.0,75.0
the bengal club,bengali,malad kan east,4.1,18,0.0,125.0
shawarmaji,lebanese,thakur village kandivali east,4.4,16,0.0,0.0
good flippin' burgers,"american, fast food, burgers",kandivali east,4.6,18,20.0,50.0
achija,"north indian, south indian, chinese, beverages, indian, burgers, chaat",kandivali east,4.2,22,0.0,0.0
granville greens,"north indian, south indian, chinese, beverages, italian, mexican, lebanese, thai",borivali,4.4,36,10.0,500.0
new kathiyawadi dhaba,"indian, south indian, punjabi, rajasthani",borivali,4.3,34,10.0,700.0
granville idc kitchen (borivali),south indian,borivali west,4.5,34,0.0,0.0
nirvana,"north indian, jain, kebabs, biryani, chinese",malad kan east,4.4,32,0.0,0.0
banglore iyanger bakery,bakery,malad kan east,4.5,13,10.0,40.0
sweet county cake shop,"desserts, bakery, snacks",kandivali east,4.6,25,0.0,0.0
the netrik's joint,"fast food, pizzas, snacks, chinese, beverages",malad kan west,4.1,18,30.0,75.0
gaurav sweets and namkeen,"sweets, snacks, chaat",malad kan east,4.3,20,0.0,0.0
raju's kitchen,"chinese, indian",saraaf choudhary nagar,4.2,32,10.0,40.0
bayleaf,"indian, snacks",kandivali east,4.3,32,10.0,1500.0
south tiffin house,"south indian, fast food, snacks",malad kan east,4.4,28,30.0,75.0
brijwasi sweets,"sweets, snacks",kandivali east,4.3,14,10.0,100.0
dominic pizza,"fast food, pizzas, chinese, italian, pastas, desserts, burgers, mexican, american, street food",pizza story,0.0,33,50.0,100.0
abcoffee,"cafe, beverages, bakery, desserts",malad kan east,4.7,15,20.0,50.0
k bhagat tarachand,north indian,malad kan east,3.8,25,0.0,0.0
saffron restaurant,"north indian, chinese, beverages, tandoor, kebabs",kandivali east,4.1,31,0.0,0.0
flavours of china,chinese,borivali east,4.4,33,0.0,0.0
the veg treat,"north indian, south indian, chinese",borivali west,4.4,33,0.0,0.0
the house of pasta,"pastas, snacks",borivali,4.4,34,0.0,100.0
radhe dhokla,"north indian, gujarati, punjabi, fast food, chinese, snacks",kandivali west,4.3,33,0.0,175.0
northern tadka,"north indian, mughlai",kandivali east,4.5,31,10.0,40.0
the ice cream bakery - tib,"ice cream, bakery, desserts, sweets, beverages",kandivali east,4.5,25,20.0,50.0
chai sutta bar,"indian, snacks",kandivali east,4.4,26,10.0,40.0
merwans cake stop,"indian, desserts",malad kan east,4.7,13,0.0,0.0
mojo pizza - 2x toppings,"pizzas, italian, fast food, desserts",kandivali east,4.3,0,50.0,100.0
"wefit-bowls, salads & sandwiches","healthy food, salads, keto, snacks",vishnu shivam mall,4.5,0,50.0,100.0
blue tokai coffee roasters,"healthy food, pastas, american, cafe, beverages, bakery",malad kan west,4.5,19,20.0,50.0
daily kitchen - homestyle meals,"home food, indian, north indian, thalis","thakur village, kandivali (e)",4.3,0,50.0,100.0
zaza mughal biryani,"biryani, north indian, awadhi",kandivali,4.2,0,50.0,100.0
dessertino,desserts,borivali,4.1,29,0.0,0.0
cafe delight,"indian, tandoor",borivali east,4.4,29,0.0,0.0
la pino'z pizza,"pizzas, pastas, italian, desserts, beverages",thakur complex,4.2,25,50.0,100.0
murlidhar sweets and farsan,"sweets, street food, bengali, gujarati, desserts, fast food",borivali west,4.7,30,0.0,0.0
starbucks coffee,"beverages, cafe, snacks, desserts, bakery, ice cream",malad kan east,4.4,17,10.0,900.0
borivali biryani centre (bbc),"biryani, chinese, north indian, punjabi, kebabs, afghani",borivali west,4.5,26,0.0,0.0
meemee's,"ice cream, desserts",borivali,4.5,26,50.0,100.0
uncle's chinese,"chinese, fast food, biryani, north indian, beverages",kandivali,3.6,36,0.0,0.0
bangalore iyengar bakery,"bakery, desserts",borivali,4.3,29,0.0,0.0
kunafa world,"middle eastern, desserts",malad kan west,4.2,36,0.0,0.0
the cake factory,desserts,kandivali east,4.2,22,60.0,120.0
kusum rolls,"indian, fast food, lebanese, arabian, kebabs",kandivali east,3.5,32,0.0,0.0
patanwala,"sweets, desserts",malad kan east,4.8,15,0.0,0.0
monginis,"bakery, desserts, snacks",kandivali east,4.2,14,20.0,50.0
getaway-ice creams & desserts,"ice cream, desserts, healthy food, sweets",kandivali,4.7,24,0.0,175.0
mealful rolls - india's biggest rolls,"fast food, snacks, north indian, desserts",kandivali east,4.4,0,50.0,100.0
the momo co.,"chinese, asian, tibetan, desserts",kandivali east,4.1,20,50.0,100.0
faasos' signature wraps & rolls,"fast food, snacks, north indian, desserts, beverages",kandivali east,0.0,0,50.0,100.0
kareem's,"north indian, biryani, chinese, indian, desserts, mughlai, tandoor, lucknowi",kandivali east,4.1,32,50.0,100.0
suchali's artisan bakehouse,"beverages, bakery",malad kan east,4.6,18,20.0,50.0
leancrust pizza- thincrust experts,"pizzas, italian, desserts",kandivali east,4.4,0,50.0,100.0
pure veg meals by lunchbox,"biryani, north indian, desserts, beverages",kandivali east,4.2,24,40.0,80.0
the j,"american, snacks, desserts",malad kan east,4.5,18,0.0,0.0
smokin' joe's,"italian, pizzas",kandivali east,3.9,34,20.0,50.0
boom sandwich - sub of india,"snacks, indian, desserts",kandivali east,4.3,0,50.0,100.0
7th heaven,"bakery, desserts",malad kan east,3.8,16,50.0,100.0
itminaan matka biryani - slow cooked,"biryani, north indian, mughlai",kandivali east,0.0,0,60.0,120.0
moussestruck,"ice cream, desserts, sweets",kandivali west,4.7,25,0.0,100.0
tiffin box,"biryani, beverages, north eastern",malad kan east,0.0,27,30.0,75.0
waffle cart,"desserts, snacks, thalis",borivali,3.8,30,0.0,0.0
madno - house of sundaes,"ice cream, beverages",thakur village,4.1,26,40.0,80.0
gourmet ice cream cakes by baskin robbins,"ice cream cakes, desserts, ice cream, bakery",malad kan east,4.3,20,20.0,50.0
khana khazana,"indian, chinese",borivali,4.6,32,0.0,0.0
tea post,beverages,borivali west,4.1,36,0.0,175.0
pizza hut,pizzas,kandivali east,4.2,28,0.0,179.0
momo mia,"chinese, desserts, pizzas, burgers, pastas, italian",dheeraj regancy,2.3,26,50.0,100.0
hola pasta - fresh gourmet pasta,"pastas, italian, desserts, beverages",kandivali east,3.4,0,0.0,149.0
libon the cake expert,desserts,borivali,4.2,28,0.0,175.0
new york burrito company,"mexican, american, continental, snacks, beverages, desserts",kandivali west,4.2,32,0.0,0.0
the fresh press,"beverages, juices",malad kan east,4.2,39,60.0,120.0
dairy don,"beverages, desserts",borivali,3.9,26,10.0,600.0
mccafe by mcdonald's,"american, beverages, desserts",kandivali east,0.0,0,0.0,0.0
bhagwati pav bhaji,"street food, chinese, south indian, north indian",kandivali west,4.1,36,0.0,125.0
goragandhi juice corner & veg world,"north indian, south indian, chinese, indian, chaat, fast food, maharashtrian, pizzas, juices, mexican, pastas",borivali west,4.6,34,0.0,0.0
the waffle co.,"desserts, waffle",kandivali west,4.4,34,0.0,0.0
99 pancakes,"desserts, beverages",kandivali west,4.6,32,0.0,175.0
idc kitchen,south indian,malad kan east,4.3,36,0.0,125.0
burger hub,"burgers, snacks, chinese",borivali,0.0,34,0.0,0.0
